
Connexions actives

  Proto  Adresse locale         Adresse distante       �tat
  TCP    10.1.1.1:15627         holonet:https          ESTABLISHED
  TCP    10.1.1.1:15640         140:https              ESTABLISHED
  TCP    10.1.1.1:15666         104.20.93.59:https     ESTABLISHED
  TCP    10.1.1.1:15703         fe405ed0-ed00-4a98-94a0-fa8e2913d4e1:https  ESTABLISHED
  TCP    10.1.1.1:26939         relay-6415b348:https   ESTABLISHED
  TCP    10.1.1.1:26946         162.159.130.234:https  ESTABLISHED
  TCP    10.1.1.1:26956         neyo:https             ESTABLISHED
  TCP    10.1.1.1:26978         55:https               ESTABLISHED
  TCP    10.1.1.1:27013         holocom:imaps          TIME_WAIT
  TCP    10.1.1.1:27014         univ-rennes1:imaps     ESTABLISHED
  TCP    10.1.1.1:27031         holocom:imaps          TIME_WAIT
  TCP    10.1.1.1:27060         20.111.1.3:https       ESTABLISHED
  TCP    10.1.1.1:27117         univ-rennes1:imaps     ESTABLISHED
  TCP    10.1.1.1:27121         dev1:ssh               ESTABLISHED
  TCP    10.1.1.1:27153         dev1:ssh               ESTABLISHED
  TCP    10.1.1.1:27325         ec2-34-241-115-67:https  ESTABLISHED
  TCP    10.1.1.1:27402         10.0.0.207:ssh         ESTABLISHED
  TCP    10.1.1.1:27429         10.0.0.207:ssh         ESTABLISHED
  TCP    10.1.1.1:27473         10.0.0.207:ssh         ESTABLISHED
  TCP    10.1.1.1:27479         10.0.0.207:ssh         ESTABLISHED
  TCP    10.1.1.1:27580         static:https           ESTABLISHED
  TCP    10.1.1.1:27700         fe405ed0-ed00-4a98-94a0-fa8e2913d4e1:https  ESTABLISHED
  TCP    10.1.1.1:27812         fe405ed0-ed00-4a98-94a0-fa8e2913d4e1:https  ESTABLISHED
  TCP    10.1.1.1:49412         20.199.120.182:https   ESTABLISHED
  TCP    10.1.1.1:49413         20.199.120.182:https   ESTABLISHED
  TCP    10.1.1.1:52335         25:https               ESTABLISHED
  TCP    10.1.1.1:52342         104.20.93.59:https     ESTABLISHED
  TCP    127.0.0.1:9010         grievous:21777         ESTABLISHED
  TCP    127.0.0.1:9010         grievous:21787         ESTABLISHED
  TCP    127.0.0.1:10391        grievous:27239         ESTABLISHED
  TCP    127.0.0.1:21701        grievous:21702         TIME_WAIT
  TCP    127.0.0.1:21702        grievous:21701         ESTABLISHED
  TCP    127.0.0.1:21703        grievous:21704         ESTABLISHED
  TCP    127.0.0.1:21704        grievous:21703         ESTABLISHED
  TCP    127.0.0.1:21777        grievous:9010          ESTABLISHED
  TCP    127.0.0.1:21787        grievous:9010          ESTABLISHED
  TCP    127.0.0.1:22426        grievous:22427         ESTABLISHED
  TCP    127.0.0.1:22427        grievous:22426         ESTABLISHED
  TCP    127.0.0.1:27149        grievous:27158         ESTABLISHED
  TCP    127.0.0.1:27149        grievous:27159         ESTABLISHED
  TCP    127.0.0.1:27158        grievous:27149         ESTABLISHED
  TCP    127.0.0.1:27159        grievous:27149         ESTABLISHED
  TCP    127.0.0.1:27239        grievous:10391         TIME_WAIT
  TCP    127.0.0.1:27478        grievous:27482         ESTABLISHED
  TCP    127.0.0.1:27478        grievous:27483         ESTABLISHED
  TCP    127.0.0.1:27482        grievous:27478         ESTABLISHED
  TCP    127.0.0.1:27483        grievous:27478         ESTABLISHED
  TCP    127.0.0.1:27846        grievous:27847         ESTABLISHED
  TCP    127.0.0.1:27847        grievous:27846         ESTABLISHED
  TCP    127.0.0.1:27848        grievous:27849         ESTABLISHED
  TCP    127.0.0.1:27849        grievous:27848         ESTABLISHED
  TCP    127.0.0.1:52369        grievous:9105          SYN_SENT
  TCP    127.0.0.1:52370        grievous:28194         SYN_SENT
